id;sku;Product name;Manage stock;Stock status;Backorders;Stock;Price;Type;Parent ID
9053;brace-I6.black;black ;yes;instock;no;2;369;product-variant;6468
6469;brace-i6.brown;brown ;yes;instock;no;4;369;product-variant;6468
6470;brace-i6.red;red ;yes;instock;no;9;369;product-variant;6468
6471;brace-i6.white;white ;yes;instock;no;3;369;product-variant;6468
6472;bump-i6.black;Чехол Bump-I6;yes;instock;no;12;249;variable;
9065;bump-i6.black;black ;yes;instock;no;12;249;product-variant;6472
6473;bump-i6.blue;blue ;yes;instock;no;15;249;product-variant;6472
6474;bump-i6.orange;orange ;yes;instock;no;16;249;product-variant;6472
6475;bump-i6.red;red ;yes;instock;no;15;249;product-variant;6472
6476;cloud-i6.black;Чехол Cloud-I6;yes;instock;no;28;299;variable;
9216;cloud-i6.black;black ;yes;instock;no;28;299;product-variant;6476
6477;cloud-i6.blue;blue ;yes;instock;no;13;249;product-variant;6476
6478;cloud-i6.purple;purple ;yes;instock;no;67;249;product-variant;6476
6479;cloud-i6.red;red ;yes;instock;no;17;249;product-variant;6476
6480;ammo-i6.black;Чехол Ammo-I6;yes;instock;no;12;343;variable;
9187;ammo-i6.black;black ;yes;instock;no;12;343;product-variant;6480
6481;ammo-i6.maroon;MAROON ;yes;instock;no;15;343;product-variant;6480
6482;ammo-i6.blue;blue ;yes;instock;no;13;343;product-variant;6480
6483;coat-i6.black;Чехол Coat-I6;yes;instock;no;0;0;variable;
9200;coat-i6.black;black ;yes;instock;no;0;0;product-variant;6483
6484;coat-i6.gold;gold ;yes;instock;no;1;343;product-variant;6483
6485;coat-i6.blue;blue ;yes;instock;no;17;343;product-variant;6483
6486;coat-i6.red;red ;yes;instock;no;25;343;product-variant;6483
6450;;Чехол Armor-i6P;yes;instock;no;;;variable;
9279;armor-i6p.white;white ;yes;instock;no;6;449;product-variant;6450
9245;armor-i6p.blue;blue ;yes;instock;no;51;449;product-variant;6450
9244;armor-i6p.black;black ;yes;instock;no;49;449;product-variant;6450
6451;armor-i6p.yellow;yellow ;yes;instock;no;12;449;product-variant;6450
6452;armor-i6p.maroon;MAROON ;yes;instock;no;7;449;product-variant;6450
6453;armor-s6.black;Чехол Armor-S6;yes;instock;no;0;0;variable;
8534;armor-s6.black;black ;yes;instock;no;0;0;product-variant;6453
6454;armor-s6.blue;blue ;yes;instock;no;6;499;product-variant;6453
6455;armor-s6.purple;purple ;yes;instock;no;10;499;product-variant;6453
6456;bandPro-i6.black;Чехол BandPro-I6;yes;instock;no;1;399;variable;
9281;bandPro-i6.black;black ;yes;instock;no;1;399;product-variant;6456
6457;bandPro-i6.blue;blue ;yes;instock;no;14;399;product-variant;6456
6458;bandPro-i6.red;red ;yes;instock;no;15;399;product-variant;6456
6459;bandPro-i6.grey;grey ;yes;instock;no;5;399;product-variant;6456
6460;bandPro-i6.pink;pink ;yes;instock;no;27;399;product-variant;6456
6461;;Чехол Bare-I6;yes;instock;no;;;variable;
6467;bare-i6.white;Transparent ;yes;instock;no;0;0;product-variant;6461
6462;bare-i6.red;red ;yes;instock;no;5;249;product-variant;6461
6463;bare-i6.black;black ;yes;instock;no;2;249;product-variant;6461
6464;bare-i6.blue;blue ;yes;instock;no;5;249;product-variant;6461
6465;bare-i6.pink;pink ;yes;instock;no;4;249;product-variant;6461
6431;fellymini.black;Чехол Felly mini;yes;instock;no;2;499;variable;
8617;fellymini.blue;blue ;yes;instock;no;0;0;product-variant;6431
8591;fellymini.black;black ;yes;instock;no;2;499;product-variant;6431
6432;fellymini.orange;orange ;yes;instock;no;0;0;product-variant;6431
6433;fellymini.pink;pink ;yes;instock;no;2;499;product-variant;6431
6434;bamby-air.blue;Чехол Bamby Air;yes;instock;no;2;599;variable;
9572;bamby-air.blue;blue ;yes;instock;no;2;599;product-variant;6434
6435;bamby-air.orange;orange ;yes;instock;no;0;0;product-variant;6434
6436;bamby-air.pink;pink ;yes;instock;no;40;599;product-variant;6434
6437;armor-i6.black;Чехол Armor-i6;yes;instock;no;2;399;variable;
10206;armor-i6.black;black ;yes;instock;no;2;399;product-variant;6437
6438;armor-i6.blue;blue ;yes;instock;no;2;399;product-variant;6437
6439;armor-i6.white;white ;yes;instock;no;42;399;product-variant;6437
6440;armor-i6.yellow;yellow ;yes;instock;no;4;399;product-variant;6437
6441;armor-i6.maroon;MAROON ;yes;instock;no;5;399;product-variant;6437
6442;alloy-i6.black;Чехол Alloy-i6;yes;instock;no;7;349;variable;
10216;alloy-i6.black;black ;yes;instock;no;7;349;product-variant;6442
6443;alloy-i6.silver;silver ;yes;instock;no;5;349;product-variant;6442
6444;alloy-i6.gold;gold ;yes;instock;no;2;349;product-variant;6442
6445;alloy-i6p.black;Чехол Alloy-i6P;yes;instock;no;8;399;variable;
9822;alloy-i6p.black;black ;yes;instock;no;8;399;product-variant;6445
6446;alloy-i6p.silver;silver ;yes;instock;no;5;399;product-variant;6445
6447;alloy-i6p.gold;gold ;yes;instock;no;6;399;product-variant;6445
6410;vaultcase-i7.black;Чехол  vaultCase-i7;yes;instock;no;;;variable;
6411;vaultcase-i7.gold;gold ;yes;instock;no;10;499;product-variant;6410
6412;vaultcase-i7.blue;blue ;yes;instock;no;0;0;product-variant;6410
6413;vaultcase-i7p.black;black ;yes;instock;no;40;499;product-variant;6410
6416;;Чехол GripShell-i7;yes;instock;no;;;variable;
10009;gripshell-i7.black;black ;yes;instock;no;78;499;product-variant;6416
6417;;Чехол  Wallet-X;yes;instock;no;;;variable;
9986;wallet-x.black;black ;yes;instock;no;25;499;product-variant;6417
6418;wallet-x.brown;brown ;yes;instock;no;10;499;product-variant;6417
6419;wallet-x.blue;blue ;yes;instock;no;5;499;product-variant;6417
6420;;Чехол Coat-i6P;yes;instock;no;;;variable;
