id,sku,Product name,Manage stock,Stock status,Backorders,Stock,Type,Parent ID
9818,armor-i6p.yellow,yellow ,yes,instock,no,12,product-variant,6448
6449,armor-i6p.blue,blue ,yes,instock,no,11,product-variant,6448
6410,vaultcase-i7.black,Чехол  vaultCase-i7,yes,instock,no,20,variable,
6411,vaultcase-i7.gold,gold ,yes,instock,no,10,product-variant,6410
6412,vaultcase-i7.blue,blue ,yes,instock,no,0,product-variant,6410
6413,vaultcase-i7p.black,black ,yes,instock,no,40,product-variant,6410
6416,gripshell-i7.black,Чехол GripShell-i7,yes,instock,no,80,variable,
10009,gripshell-i7.black,black ,yes,instock,no,80,product-variant,6416
6417,wallet-x.black,Чехол  Wallet-X,yes,instock,no,25,variable,
9986,wallet-x.black,black ,yes,instock,no,25,product-variant,6417
6418,wallet-x.brown,brown ,yes,instock,no,10,product-variant,6417
6419,wallet-x.blue,blue ,yes,instock,no,5,product-variant,6417
6420,coat-i6p.gold,Чехол Coat-i6P,yes,instock,no,8,variable,
10857,coat-i6p.red,red ,yes,instock,no,7,product-variant,6420
10856,coat-i6p.black,black ,yes,instock,no,13,product-variant,6420
9874,coat-i6p.gold,gold ,yes,instock,no,8,product-variant,6420
6421,coat-i6p.blue,blue ,yes,instock,no,21,product-variant,6420
6422,ammo-i6p.maroon,Чехол Ammo-i6P,yes,instock,no,4,variable,
10852,ammo-i6p.black,blue ,yes,instock,no,3,product-variant,6422
9855,ammo-i6p.maroon,MAROON ,yes,instock,no,4,product-variant,6422
6423,ammo-i6p.black,black ,yes,instock,no,3,product-variant,6422
6424,superior-i6.black,Чехол Superior-i6,yes,instock,no,11,variable,
10291,superior-i6.black,black ,yes,instock,no,11,product-variant,6424
6425,diver-i6.black,Чехол Diver-i6,yes,instock,no,33,variable,
10177,diver-i6.black,black ,yes,instock,no,33,product-variant,6425
6426,bamby-air2.pink,Чехол Bamby Air2,yes,instock,no,7,variable,
8651,bamby-air2.orange,orange ,yes,instock,no,8,product-variant,6426
8628,bamby-air2.black,black ,yes,instock,no,5,product-variant,6426
8627,bamby-air2.blue,blue ,yes,instock,no,0,product-variant,6426
8626,bamby-air2.pink,pink ,yes,instock,no,7,product-variant,6426
8625,bamby-air2.purple,purple ,yes,instock,no,8,product-variant,6426
6427,bamby-mini3.orange,Чехол Bamby-Mini3,yes,instock,no,12,variable,
8561,bamby-mini3.orange,orange ,yes,instock,no,12,product-variant,6427
6429,bamby-mini3.blue,blue ,yes,instock,no,10,product-variant,6427
6430,bamby-mini3.pink,pink ,yes,instock,no,10,product-variant,6427
6428,bamby-mini3.black,black ,yes,instock,no,6,product-variant,6427
6401,carbon-i7.black,Чехол Carbon-i7,yes,instock,no,80,variable,
9929,carbon-i7.black,black ,yes,instock,no,80,product-variant,6401
6402,steel-i7.black,Чехол  Steel-i7,yes,instock,no,30,variable,
9910,steel-i7.black,black ,yes,instock,no,30,product-variant,6402
6403,steel-i7.red,red ,yes,instock,no,10,product-variant,6402
6404,crystal-i7.clear,Чехол  Crystal-i7,yes,instock,no,60,variable,
9907,crystal-i7.clear,Clear ,yes,instock,no,60,product-variant,6404
6405,metal-i7.black,Чехол Metal-i7,yes,instock,no,10,variable,
9940,metal-i7.black,black ,yes,instock,no,10,product-variant,6405
6406,metal-i7.grey,grey ,yes,instock,no,30,product-variant,6405
6407,shield-i7.black,Чехол  Shield-i7,yes,instock,no,60,variable,
9958,shield-i7.black,black ,yes,instock,no,60,product-variant,6407
6408,cardcase-i7.black,Чехол cardCase-i7,yes,instock,no,20,variable,
9972,cardcase-i7.black,black ,yes,instock,no,20,product-variant,6408
6409,cardcase-i7.grey,grey ,yes,instock,no,20,product-variant,6408
6397,livebelt-2.black,Чехол  liveBelt-2,yes,instock,no,30,variable,
8618,livebelt-2.black,black ,yes,instock,no,30,product-variant,6397
6400,livebelt-2.green,green ,yes,instock,no,10,product-variant,6397
6398,livebelt-2.blue,blue ,yes,instock,no,10,product-variant,6397
6399,livebelt-2.pink,pink ,yes,instock,no,10,product-variant,6397
6373,akton-i6p.black,Чехол Akton-i6p,yes,instock,no,3,variable,
9873,akton-i6p.black,black ,yes,instock,no,3,product-variant,6373
6374,akton-i6p.blue,blue ,yes,instock,no,3,product-variant,6373
6375,akton-i6p.grey,grey ,yes,instock,no,0,product-variant,6373
6376,akton-i6p.red,red ,yes,instock,no,9,product-variant,6373
6377,akton-i6p.pink,pink ,yes,instock,no,2,product-variant,6373
6378,beslim-i6.blue,Чехол beSlim-i6,yes,instock,no,1,variable,
10327,beslim-i6.blue,blue ,yes,instock,no,1,product-variant,6378
10320,beslim-i6.brown ,brown ,yes,instock,no,0,product-variant,6378
6379,beslim-i6.maroon,MAROON ,yes,instock,no,4,product-variant,6378
6380,beslim-i6.white,white ,yes,instock,no,2,product-variant,6378
6381,beslim-i6.black,black ,yes,instock,no,6,product-variant,6378
6382,beslim-i6.pink,pink ,yes,instock,no,5,product-variant,6378
6383,lucent-i6.clear,Чехол  Lucent-i6,yes,instock,no,20,variable,
10274,lucent-i6.black,black ,yes,instock,no,21,product-variant,6383
10273,lucent-i6.pink,pink ,yes,instock,no,7,product-variant,6383
10262,lucent-i6.clear,Transparent ,yes,instock,no,20,product-variant,6383
6384,amos-i6.black,Чехол  Amos-i6,yes,instock,no,6,variable,
10253,amos-i6.black,black ,yes,instock,no,6,product-variant,6384
6385,amos-i6.purple,purple ,yes,instock,no,6,product-variant,6384
6386,amos-i6.red,red ,yes,instock,no,5,product-variant,6384
6387,amos-i6.pink,pink ,yes,instock,no,6,product-variant,6384
6388,amos-i6p.black,Чехол  Amos-i6p,yes,instock,no,2,variable,
6389,amos-i6p.purple,purple ,yes,instock,no,3,product-variant,6388
6391,amos-i6p.pink,pink ,yes,instock,no,2,product-variant,6388
6392,spino-i6p.red,red ,yes,instock,no,6,product-variant,6388
6395,spino-i6p.black,black ,yes,instock,no,5,product-variant,6388
6351,xpose-xl.black,Сумка для фототехники xPose.XL,yes,instock,no,8,variable,
6352,xpose-s.black,black ,yes,instock,no,8,product-variant,6351
6353,slinger.orange,Сумка для фототехники Slinger,yes,instock,no,5,variable,
7613,slinger.orange,orange ,yes,instock,no,5,product-variant,6353
6354,xplore-l.grey,Сумка для фототехники xPlore-L,yes,instock,no,6,variable,
7623,xplore-l.grey,grey ,yes,instock,no,6,product-variant,6354
6355,nicole.black,Сумка для ноутбука Nicole,yes,instock,no,8,variable,
6716,nicole.black,black ,yes,instock,no,8,product-variant,6355
6356,nicole.brown,brown ,yes,instock,no,10,product-variant,6355
6357,kini-hm.grey,Сумка для ноутбука Kini-HM,yes,instock,no,4,variable,
6957,kini-hm.grey,grey ,yes,instock,no,4,product-variant,6357
6358,ascend1-sb.grey,Сумка для ноутбука Ascend1-SB,yes,instock,no,9,variable,
6708,ascend1-sb.grey,grey ,yes,instock,no,9,product-variant,6358
6359,desire-s.brown,Сумка для ноутбука Desire-S,yes,instock,no,0,variable,
6935,desire-s.brown,brown ,yes,instock,no,0,product-variant,6359
6360,desire-s.blue,blue ,yes,instock,no,4,product-variant,6359
6361,desire-s.red,red ,yes,instock,no,5,product-variant,6359
6362,desire-s.black,black ,yes,instock,no,10,product-variant,6359
6363,tabpak-s.navyblue,Сумка для планшета TabPak-S,yes,instock,no,10,variable,
6927,tabpak-s.navyblue,navyblue ,yes,instock,no,10,product-variant,6363
6364,tabpak-l.navyblue,Сумка для планшета TabPak-L,yes,instock,no,8,variable,
6920,tabpak-l.navyblue,navyblue ,yes,instock,no,8,product-variant,6364
6365,teem-i6.black,Чехол  Teem-i6,yes,instock,no,4,variable,
10347,teem-i6.black,black ,yes,instock,no,4,product-variant,6365
10346,teem-i6.grey,grey ,yes,instock,no,0,product-variant,6365
6366,teem-i6.blue,blue ,yes,instock,no,8,product-variant,6365
6367,teem-i6.pink,red ,yes,instock,no,4,product-variant,6365
6368,akton-i6.black,Чехол Akton-i6,yes,instock,no,5,variable,
10329,akton-i6.black,black ,yes,instock,no,5,product-variant,6368
6369,akton-i6.blue,blue ,yes,instock,no,10,product-variant,6368
6370,akton-i6.grey,grey ,yes,instock,no,13,product-variant,6368
6371,akton-i6.red,red ,yes,instock,no,14,product-variant,6368
6372,akton-i6.pink,pink ,yes,instock,no,8,product-variant,6368
6329,gear-mb.black,Сумка для ноутбука Gear-MB,yes,instock,no,116,variable,
7120,gear-mb.black,black ,yes,instock,no,116,product-variant,6329
6330,voyage.black,Рюкзак для ноутбука Voyage,yes,instock,no,11,variable,
6833,voyage.black,black ,yes,instock,no,11,product-variant,6330
6331,zipper-s.black,Чехол для ноутбука Zipper-S,yes,instock,no,48,variable,
7083,zipper-s.black,black ,yes,instock,no,48,product-variant,6331
6332,ascend1-bp.grey,Рюкзак для ноутбука Ascend1-BP,yes,instock,no,18,variable,
6786,ascend1-bp.grey,grey ,yes,instock,no,18,product-variant,6332
6333,avenger.grey,Рюкзак для ноутбука Avenger,yes,instock,no,10,variable,
6788,avenger.grey,grey ,yes,instock,no,10,product-variant,6333
6334,azzure-l.blue,Сумка для ноутбука Azzure-L,yes,instock,no,25,variable,
